game_id,game_date,season,home_team_id,away_team_id,y_margin,home_win_pct_to_date,away_win_pct_to_date,win_pct_diff,home_avg_margin_to_date,away_avg_margin_to_date,home_last10_margin,away_last10_margin,last10_margin_diff,home_home_margin_to_date,away_away_margin_to_date,home_rest_days,away_rest_days,rest_diff,home_b2b,away_b2b,home_games_to_date,away_games_to_date
22400123,2024-10-30,2024-25,1610612741,1610612753,3,0.5,0.75,-0.25,-4.25,6.25,-4.25,6.25,-10.5,-19.0,3.0,1,1,0,0,0,4,4
22400124,2024-10-30,2024-25,1610612763,1610612751,-13,0.5,0.25,0.25,-2.0,-2.75,-2.0,-2.75,0.75,5.0,-9.5,1,0,1,0,1,4,4
22400125,2024-10-30,2024-25,1610612760,1610612759,12,1.0,0.3333333333333333,0.6666666666666667,19.333333333333332,-4.333333333333333,19.333333333333332,-4.333333333333333,23.666666666666664,24.0,-11.0,2,1,1,0,0,3,3
22400126,2024-10-30,2024-25,1610612744,1610612740,15,0.75,0.5,0.25,21.75,-6.5,21.75,-6.5,28.25,5.0,-12.666666666666666,0,0,0,1,1,4,4
22400127,2024-10-30,2024-25,1610612746,1610612757,-1,0.6666666666666666,0.25,0.41666666666666663,3.3333333333333335,-7.25,3.3333333333333335,-7.25,10.583333333333334,-3.0,-13.0,2,1,1,0,0,3,4
22400128,2024-10-31,2024-25,1610612763,1610612749,23,0.4,0.25,0.15000000000000002,-4.2,-5.0,-4.2,-5.0,0.7999999999999998,-1.0,-3.0,0,2,-2,1,0,5,4
22400129,2024-10-31,2024-25,1610612742,1610612745,-6,0.75,0.5,0.25,3.25,4.25,3.25,4.25,-1.0,9.5,1.0,1,2,-1,0,0,4,4
22400130,2024-10-31,2024-25,1610612762,1610612759,-18,0.0,0.25,-0.25,-17.0,-6.25,-17.0,-6.25,-10.75,-20.0,-11.5,1,0,1,0,1,4,4
22400131,2024-10-31,2024-25,1610612746,1610612756,-6,0.5,0.75,-0.25,2.25,3.0,2.25,3.0,-0.75,-2.0,-2.0,0,2,-2,1,0,4,4
22400132,2024-11-01,2024-25,1610612766,1610612738,-15,0.5,0.8,-0.30000000000000004,-0.75,11.4,-0.75,11.4,-12.15,-1.5,7.666666666666667,1,1,0,0,0,4,5
22400133,2024-11-01,2024-25,1610612739,1610612753,11,1.0,0.6,0.4,18.2,4.4,18.2,4.4,13.799999999999999,18.0,1.0,1,1,0,0,0,5,5
22400134,2024-11-01,2024-25,1610612765,1610612752,-30,0.2,0.5,-0.3,-4.4,1.25,-4.4,1.25,-5.65,-6.0,-7.0,1,1,0,0,0,5,4
22400135,2024-11-01,2024-25,1610612737,1610612758,-8,0.4,0.5,-0.09999999999999998,-6.0,6.0,-6.0,6.0,-12.0,2.3333333333333335,6.5,1,2,-1,0,0,5,4
22400136,2024-11-01,2024-25,1610612751,1610612741,8,0.4,0.6,-0.19999999999999996,0.4,-2.8,0.4,-2.8,3.1999999999999997,4.0,0.6666666666666666,1,1,0,0,0,5,5
22400137,2024-11-01,2024-25,1610612761,1610612747,-6,0.2,0.6,-0.39999999999999997,-8.0,-2.0,-8.0,-2.0,-6.0,-8.0,-14.0,1,1,0,0,0,5,5
22400138,2024-11-01,2024-25,1610612740,1610612754,7,0.4,0.4,0.0,-8.2,-4.8,-8.2,-4.8,-3.3999999999999995,12.0,-7.666666666666667,1,1,0,0,0,5,5
22400139,2024-11-01,2024-25,1610612750,1610612743,3,0.5,0.5,0.0,0.0,-3.25,0.0,-3.25,3.25,2.5,3.5,2,2,0,0,0,4,4
22400140,2024-11-01,2024-25,1610612757,1610612760,-23,0.4,1.0,-0.6,-5.6,17.5,-5.6,17.5,-23.1,-5.333333333333333,17.0,1,1,0,0,0,5,4
22400141,2024-11-02,2024-25,1610612766,1610612738,-10,0.4,0.8333333333333334,-0.43333333333333335,-3.6,12.0,-3.6,12.0,-15.6,-6.0,9.5,0,0,0,1,1,5,6
22400142,2024-11-02,2024-25,1610612755,1610612763,-17,0.25,0.5,-0.25,-7.25,0.3333333333333333,-7.25,0.3333333333333333,-7.583333333333333,-12.5,-9.0,2,1,1,0,0,4,6
22400143,2024-11-02,2024-25,1610612761,1610612758,3,0.16666666666666666,0.6,-0.43333333333333335,-7.666666666666667,6.4,-7.666666666666667,6.4,-14.066666666666666,-7.5,7.0,0,0,0,1,1,6,5
22400144,2024-11-02,2024-25,1610612745,1610612744,-6,0.6,0.8,-0.20000000000000007,4.6,20.4,4.6,20.4,-15.799999999999999,7.5,38.5,1,2,-1,0,0,5,5
22400145,2024-11-02,2024-25,1610612749,1610612739,-1,0.2,1.0,-0.8,-8.6,17.0,-8.6,17.0,-25.6,-11.0,18.333333333333332,1,0,1,0,1,5,6
22400146,2024-11-02,2024-25,1610612759,1610612750,10,0.4,0.6,-0.19999999999999996,-1.4,0.6,-1.4,0.6,-2.0,-1.0,-2.5,1,0,1,0,1,5,5
22400148,2024-11-02,2024-25,1610612743,1610612762,26,0.4,0.0,0.4,-3.2,-17.2,-3.2,-17.2,14.0,-10.0,-8.0,0,1,-1,1,0,5,5
22400149,2024-11-02,2024-25,1610612756,1610612757,6,0.8,0.3333333333333333,0.46666666666666673,3.6,-8.5,3.6,-8.5,12.1,8.0,-6.0,1,0,1,0,1,5,6
22400150,2024-11-02,2024-25,1610612746,1610612760,-13,0.4,1.0,-0.6,0.6,18.6,0.6,18.6,-18.0,-3.3333333333333335,19.0,1,0,1,0,1,5,5
22400151,2024-11-03,2024-25,1610612751,1610612765,-14,0.5,0.16666666666666666,0.33333333333333337,1.6666666666666667,-8.666666666666666,1.6666666666666667,-8.666666666666666,10.333333333333332,5.333333333333333,-3.3333333333333335,1,1,0,0,0,6,6
22400152,2024-11-03,2024-25,1610612740,1610612737,-15,0.5,0.3333333333333333,0.16666666666666669,-5.666666666666667,-6.333333333333333,-5.666666666666667,-6.333333333333333,0.6666666666666661,9.5,-18.5,1,1,0,0,0,6,6
22400153,2024-11-03,2024-25,1610612742,1610612753,23,0.6,0.5,0.09999999999999998,1.4,1.8333333333333333,1.4,1.8333333333333333,-0.43333333333333335,4.333333333333333,-2.0,2,1,1,0,0,5,6
22400154,2024-11-04,2024-25,1610612739,1610612749,2,1.0,0.16666666666666666,0.8333333333333334,14.714285714285714,-7.333333333333333,14.714285714285714,-7.333333333333333,22.047619047619047,15.666666666666666,-8.0,1,1,0,0,0,7,6
22400155,2024-11-04,2024-25,1610612764,1610612744,-13,0.5,0.8333333333333334,-0.33333333333333337,-6.0,18.0,-6.0,18.0,-24.0,-8.666666666666666,27.666666666666668,4,1,3,0,0,4,6
22400156,2024-11-04,2024-25,1610612765,1610612747,12,0.2857142857142857,0.6666666666666666,-0.38095238095238093,-5.428571428571429,-0.6666666666666666,-5.428571428571429,-0.6666666666666666,-4.761904761904762,-14.0,-7.333333333333333,0,2,-2,1,0,7,6
22400157,2024-11-04,2024-25,1610612737,1610612738,-30,0.42857142857142855,0.8571428571428571,-0.42857142857142855,-3.2857142857142856,11.714285714285714,-3.2857142857142856,11.714285714285714,-15.0,-0.25,9.6,0,1,-1,1,0,7,7
